"County","State","X.x","Unnamed..0.x","GEOID.x","total_popE.x","total_popM.x","whiteE.x","whiteM.x","blackE.x","blackM.x","native_americanE.x","native_americanM.x","asianE.x","asianM.x","pacific_islanderE.x","pacific_islanderM.x","other_raceE.x","other_raceM.x","two_or_moreE.x","two_or_moreM.x","med_incE.x","med_incM.x","hispanicE.x","hispanicM.x","poverty_incomeE.x","poverty_incomeM.x","poverty_totalE.x","poverty_totalM.x","X.y","Unnamed..0.y","GEOID.y","total_popE.y","total_popM.y","whiteE.y","whiteM.y","blackE.y","blackM.y","native_americanE.y","native_americanM.y","asianE.y","asianM.y","pacific_islanderE.y","pacific_islanderM.y","other_raceE.y","other_raceM.y","two_or_moreE.y","two_or_moreM.y","med_incE.y","med_incM.y","hispanicE.y","hispanicM.y","poverty_incomeE.y","poverty_incomeM.y","poverty_totalE.y","poverty_totalM.y"
"Abbeville County","South Carolina",2318,2318,45001,24368,NA,16915,163,6372,167,28,27,58,90,0,25,155,109,840,204,49759,4901,441,NA,3752,544,23589,21,2318,2318,45001,24368,NA,16915,163,6372,167,28,27,58,90,0,25,155,109,840,204,49759,4901,441,NA,3752,544,23589,21
"Acadia Parish","Louisiana",1115,1115,22001,57674,NA,45230,374,9511,508,248,296,95,62,0,33,157,156,2433,586,44977,2841,1780,NA,13459,1475,56735,141,1115,1115,22001,57674,NA,45230,374,9511,508,248,296,95,62,0,33,157,156,2433,586,44977,2841,1780,NA,13459,1475,56735,141
"Accomack County","Virginia",2822,2822,51001,33367,NA,20860,312,9484,203,79,65,268,56,0,28,579,313,2097,331,52694,5883,3084,NA,5240,675,32960,30,2822,2822,51001,33367,NA,20860,312,9484,203,79,65,268,56,0,28,579,313,2097,331,52694,5883,3084,NA,5240,675,32960,30
"Ada County","Idaho",553,553,16001,497494,NA,429014,1811,6260,619,2938,708,12867,819,1081,176,11544,1341,33790,1932,83881,1783,44317,NA,42460,2732,484201,347,553,553,16001,497494,NA,429014,1811,6260,619,2938,708,12867,819,1081,176,11544,1341,33790,1932,83881,1783,44317,NA,42460,2732,484201,347
"Adair County","Iowa",791,791,19001,7479,NA,7192,59,48,35,0,15,9,11,12,17,57,46,161,56,63172,4508,196,NA,736,177,7304,15,791,791,19001,7479,NA,7192,59,48,35,0,15,9,11,12,17,57,46,161,56,63172,4508,196,NA,736,177,7304,15
"Adair County","Kentucky",995,995,21001,18887,NA,17444,194,307,98,3,5,73,78,24,35,103,84,933,218,49690,5377,468,NA,3490,488,17640,43,995,995,21001,18887,NA,17444,194,307,98,3,5,73,78,24,35,103,84,933,218,49690,5377,468,NA,3490,488,17640,43
"Adair County","Missouri",1485,1485,29001,25299,NA,22803,175,1043,75,105,55,472,122,13,19,121,146,742,211,51020,4430,702,NA,5438,627,23055,61,1485,1485,29001,25299,NA,22803,175,1043,75,105,55,472,122,13,19,121,146,742,211,51020,4430,702,NA,5438,627,23055,61
"Adair County","Oklahoma",2133,2133,40001,19726,NA,7756,163,66,61,8681,280,268,7,4,7,799,208,2152,319,44955,5800,1504,NA,4339,521,19439,56,2133,2133,40001,19726,NA,7756,163,66,61,8681,280,268,7,4,7,799,208,2152,319,44955,5800,1504,NA,4339,521,19439,56
"Adams County","Colorado",245,245,8001,520149,NA,342214,4614,18215,849,7260,1387,20574,981,836,172,48397,3534,82653,3884,86297,1295,215119,NA,49625,3399,515939,495,245,245,8001,520149,NA,342214,4614,18215,849,7260,1387,20574,981,836,172,48397,3534,82653,3884,86297,1295,215119,NA,49625,3399,515939,495
"Adams County","Idaho",554,554,16003,4464,NA,4137,51,12,15,33,29,0,13,0,13,24,38,258,60,55891,3343,193,NA,645,166,4423,17,554,554,16003,4464,NA,4137,51,12,15,33,29,0,13,0,13,24,38,258,60,55891,3343,193,NA,645,166,4423,17
