,County_x,State_x,GEOID,total_popE,total_popM,whiteE,whiteM,blackE,blackM,native_americanE,native_americanM,asianE,asianM,pacific_islanderE,pacific_islanderM,other_raceE,two_or_moreE,two_or_moreM,med_incE,med_incM,hispanicE,hispanicM,poverty_incomeE,poverty_totalE,X.1,OBJECTID,PPIN,STREET,CITY,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR,Census_Tract,num_private_schools,Unnamed: 0,bachelors_educationE,bachelors_educationM,masters_educationE,masters_educationM,County_y,State_y,education_total,area_km2,pop_density,schools_per_capita,poverty_percentage,white_percentage,education_percentage
0,Abbeville County,South Carolina,45001,24368,,16915,163,6372,167,28,27,58,90,0,25,155,840,204,49759,4901,441,,3752,23589,18073,18074,1264754,129 PENDLETON ST SW,AIKEN,29801,45,45003,Aiken County,21,33.561372,-81.724593,12260,"Augusta-Richmond County, GA-SC",1,N,N,N,N,4502,45081,45024,2021-2022,45001950402,2,2318,1207,187,188,99,Abbeville County,South Carolina,1395,1325.55334063007,18.3832662580121,8.207485226526592e-05,0.1590571876722201,0.6941480630334865,0.05724720945502298
1,Acadia Parish,Louisiana,22001,57674,,45230,374,9511,508,248,296,95,62,0,33,157,2433,586,44977,2841,1780,,13459,56735,8796,8797,539744,218 N ROGERS ST,CHURCH POINT,70525,22,22001,Acadia Parish,31,30.40777,-92.215586,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22041,22026,2021-2022,22001960801,5,1115,1670,366,225,171,Acadia Parish,Louisiana,1895,1703.15319775277,33.8630723742867,8.66941776190311e-05,0.23722569842249053,0.7842355307417553,0.03285709331761279
2,Ada County,Idaho,16001,497494,,429014,1811,6260,619,2938,708,12867,819,1081,176,11544,33790,1932,83881,1783,44317,,42460,484201,6504,6505,331043,3901 W CASSIA ST,BOISE,83705,16,16001,Ada County,12,43.596756,-116.230041,14260,"Boise City, ID",1,147,"Boise City-Mountain Home-Ontario, ID-OR",N,N,1602,16017,16017,2021-2022,16001001500,34,553,27556,1401,7297,899,Ada County,Idaho,34853,2747.10390214313,181.097627800639,6.834253277426461e-05,0.08769085565705151,0.8623500986946576,0.07005712631710131
3,Adair County,Missouri,29001,25299,,22803,175,1043,75,105,55,472,122,13,19,121,742,211,51020,4430,702,,5438,23055,11338,11339,K9303394,1820 S BALTIMORE ST,KIRKSVILLE,63501,29,29001,Adair County,33,40.17941,-92.573101,28860,"Kirksville, MO",2,N,N,N,N,2906,29003,29018,2021-2022,29001950502,1,1485,5164,456,635,147,Adair County,Missouri,5799,1474.59643320502,17.1565585202271,3.9527254041661726e-05,0.23587074387334633,0.9013399739120124,0.22921854618759635
4,Adams County,Colorado,8001,520149,,342214,4614,18215,849,7260,1387,20574,981,836,172,48397,82653,3884,86297,1295,215119,,49625,515939,3183,3184,A0101407,12000 ZUNI ST,WESTMINSTER,80234,8,8001,Adams County,21,39.91517,-105.014241,19740,"Denver-Aurora-Lakewood, CO",1,216,"Denver-Aurora, CO",N,N,807,8035,8024,2021-2022,8001008538,21,245,18139,1299,6016,663,Adams County,Colorado,24155,3065.71724938083,169.666331787464,4.037304695385361e-05,0.09618385119171065,0.6579153281079075,0.04643861662715876
5,Adams County,Idaho,16003,4464,,4137,51,12,15,33,29,0,13,0,13,24,258,60,55891,3343,193,,645,4423,6623,6624,A1901616,738 E MAIN ST,WEISER,83672,16,16087,Washington County,33,44.24599,-116.956121,N,N,N,N,N,N,N,1601,16009,16009,2021-2022,17001000800,1,554,97,56,42,21,Adams County,Idaho,139,3546.29312212058,1.25877919457788,0.00022401433691756272,0.1458286231064888,0.926747311827957,0.031137992831541218
6,Adams County,Illinois,17001,65583,,59980,215,2578,298,40,27,487,141,9,12,239,2250,402,63767,2375,1198,,7731,64113,6626,6627,349083,2500 MAINE ST,QUINCY,62301,17,17001,Adams County,33,39.93088,-91.374911,39500,"Quincy, IL-MO",2,448,"Quincy-Hannibal, IL-MO",N,N,1718,17094,17047,2021-2022,17001000600,5,597,2119,324,608,168,Adams County,Illinois,2727,2256.59897187463,29.0627625100432,7.623926932284281e-05,0.12058396892985822,0.9145662747968224,0.04158089748867847
7,Adams County,Indiana,18001,35827,,33860,262,213,101,9,12,51,45,0,27,397,1297,298,61731,3337,1673,,4040,35257,7625,7626,A9102706,5212 S 100 E,BERNE,46711,18,18001,Adams County,41,40.668355,-84.917592,19540,"Decatur, IN",2,258,"Fort Wayne-Huntington-Auburn, IN",N,N,1803,18079,18019,2021-2022,18001030500,43,699,819,162,195,107,Adams County,Indiana,1014,880.555869684852,40.6867993655217,0.0012002121305160912,0.11458717417817739,0.9450972730063918,0.02830267675217015
8,Adams County,Mississippi,28001,29425,,11452,352,15707,352,57,78,264,244,0,26,1226,719,296,37271,4671,2051,,7461,27437,11181,11182,A2170678,2037 HWY 72 E ANX,CORINTH,38834,28,28003,Alcorn County,41,34.906275,-88.482916,18420,"Corinth, MS",2,539,"Tupelo-Corinth, MS",N,N,2801,28002,28004,2021-2022,28001000400,1,1403,995,201,45,40,Adams County,Mississippi,1040,1262.55928788116,23.3058362347335,3.398470688190314e-05,0.27193206254328095,0.3891928632115548,0.03534409515717927
9,Adams County,Nebraska,31001,31143,,27135,388,218,117,79,42,361,79,2,6,1496,1852,316,61502,2829,3629,,3563,29688,11931,11932,A9702186,721 CREIGHTON AVE,HASTINGS,68901,31,31001,Adams County,32,40.591321,-98.425584,25580,"Hastings, NE",2,N,N,N,N,3103,N,31033,2021-2022,31001965900,3,1656,2003,214,334,112,Adams County,Nebraska,2337,1461.32708533498,21.3114506071453,9.632983334938831e-05,0.12001482080301805,0.8713033426452172,0.0750409401791735
