"GEOID","NAME","bachelors_educationE","bachelors_educationM","masters_educationE","masters_educationM"
"01001","Autauga County, Alabama",2430,431,400,146
"01003","Baldwin County, Alabama",7417,1020,1248,323
"01005","Barbour County, Alabama",841,196,177,103
"01007","Bibb County, Alabama",461,193,98,118
"01009","Blount County, Alabama",1754,326,326,115
"01011","Bullock County, Alabama",414,228,19,32
"01013","Butler County, Alabama",624,160,57,35
"01015","Calhoun County, Alabama",7125,622,821,225
"01017","Chambers County, Alabama",1362,259,189,115
"01019","Cherokee County, Alabama",934,213,182,114
"01021","Chilton County, Alabama",1463,372,49,38
"01023","Choctaw County, Alabama",540,148,4,12
"01025","Clarke County, Alabama",758,225,90,75
"01027","Clay County, Alabama",535,191,60,54
"01029","Cleburne County, Alabama",318,99,16,20
"01031","Coffee County, Alabama",2398,361,520,145
"01033","Colbert County, Alabama",1665,315,251,108
"01035","Conecuh County, Alabama",233,109,130,91
"01037","Coosa County, Alabama",125,61,50,37
"01039","Covington County, Alabama",842,184,196,94
"01041","Crenshaw County, Alabama",278,100,35,31
"01043","Cullman County, Alabama",2974,394,617,232
"01045","Dale County, Alabama",1631,291,305,128
"01047","Dallas County, Alabama",1003,197,363,184
"01049","DeKalb County, Alabama",2454,395,308,113
"01051","Elmore County, Alabama",3619,611,649,281
"01053","Escambia County, Alabama",753,202,145,84
"01055","Etowah County, Alabama",3938,457,742,209
"01057","Fayette County, Alabama",630,191,15,16
"01059","Franklin County, Alabama",1231,273,213,129
"01061","Geneva County, Alabama",1059,214,157,93
"01063","Greene County, Alabama",98,67,56,75
"01065","Hale County, Alabama",481,147,76,81
"01067","Henry County, Alabama",351,100,133,87
"01069","Houston County, Alabama",4205,299,987,168
"01071","Jackson County, Alabama",1541,348,247,74
"01073","Jefferson County, Alabama",34136,1685,11704,941
"01075","Lamar County, Alabama",433,125,28,36
"01077","Lauderdale County, Alabama",6575,517,1025,271
"01079","Lawrence County, Alabama",1013,211,213,121
"01081","Lee County, Alabama",24979,1230,5342,605
"01083","Limestone County, Alabama",4245,536,1110,293
"01085","Lowndes County, Alabama",257,91,37,31
"01087","Macon County, Alabama",3131,220,175,65
"01089","Madison County, Alabama",26705,1370,7118,857
"01091","Marengo County, Alabama",1071,302,92,61
"01093","Marion County, Alabama",815,212,56,43
"01095","Marshall County, Alabama",3195,336,698,179
"01097","Mobile County, Alabama",18074,1022,3720,440
"01099","Monroe County, Alabama",488,170,124,81
"01101","Montgomery County, Alabama",12033,843,4292,685
"01103","Morgan County, Alabama",4636,652,583,178
"01105","Perry County, Alabama",1027,194,0,18
"01107","Pickens County, Alabama",879,187,46,36
"01109","Pike County, Alabama",5344,441,742,256
"01111","Randolph County, Alabama",1066,171,80,50
"01113","Russell County, Alabama",3277,697,640,232
"01115","St. Clair County, Alabama",3061,612,378,149
"01117","Shelby County, Alabama",10199,780,3478,505
"01119","Sumter County, Alabama",1767,232,131,94
"01121","Talladega County, Alabama",3600,469,418,167
"01123","Tallapoosa County, Alabama",1287,253,84,67
"01125","Tuscaloosa County, Alabama",30461,1335,4446,577
"01127","Walker County, Alabama",2024,304,413,163
"01129","Washington County, Alabama",465,134,59,65
"01131","Wilcox County, Alabama",183,89,37,22
"01133","Winston County, Alabama",505,159,129,64
"02013","Aleutians East Borough, Alaska",81,25,42,31
"02016","Aleutians West Census Area, Alaska",130,28,30,41
"02020","Anchorage Municipality, Alaska",14050,830,3398,483
"02050","Bethel Census Area, Alaska",265,141,55,31
"02060","Bristol Bay Borough, Alaska",21,12,8,7
"02063","Chugach Census Area, Alaska",268,116,102,74
"02066","Copper River Census Area, Alaska",49,32,19,19
"02068","Denali Borough, Alaska",99,108,21,19
"02070","Dillingham Census Area, Alaska",72,42,18,27
"02090","Fairbanks North Star Borough, Alaska",6595,829,1936,493
"02100","Haines Borough, Alaska",4,5,0,10
"02105","Hoonah-Angoon Census Area, Alaska",35,18,16,14
"02110","Juneau City and Borough, Alaska",1365,310,446,176
"02122","Kenai Peninsula Borough, Alaska",1558,225,441,154
"02130","Ketchikan Gateway Borough, Alaska",367,94,111,46
"02150","Kodiak Island Borough, Alaska",513,160,154,81
"02158","Kusilvak Census Area, Alaska",82,35,11,16
"02164","Lake and Peninsula Borough, Alaska",20,13,9,8
"02170","Matanuska-Susitna Borough, Alaska",3477,299,841,147
"02180","Nome Census Area, Alaska",184,52,98,40
"02185","North Slope Borough, Alaska",268,113,81,78
"02188","Northwest Arctic Borough, Alaska",75,25,36,23
"02195","Petersburg Borough, Alaska",61,26,22,14
"02198","Prince of Wales-Hyder Census Area, Alaska",142,46,34,16
"02220","Sitka City and Borough, Alaska",381,105,143,59
"02230","Skagway Municipality, Alaska",69,64,0,10
"02240","Southeast Fairbanks Census Area, Alaska",96,49,80,42
"02275","Wrangell City and Borough, Alaska",10,7,5,4
"02282","Yakutat City and Borough, Alaska",35,27,0,10
"02290","Yukon-Koyukuk Census Area, Alaska",125,56,52,30
"04001","Apache County, Arizona",2693,295,196,77
"04003","Cochise County, Arizona",5798,534,1180,270
"04005","Coconino County, Arizona",21433,906,3437,694
"04007","Gila County, Arizona",1367,254,334,167
"04009","Graham County, Arizona",1977,327,167,126
"04011","Greenlee County, Arizona",219,104,12,21
"04012","La Paz County, Arizona",366,163,46,42
"04013","Maricopa County, Arizona",220397,4196,58609,2223
"04015","Mohave County, Arizona",5778,790,1370,437
"04017","Navajo County, Arizona",2650,319,651,231
"04019","Pima County, Arizona",68475,1720,16207,1079
"04021","Pinal County, Arizona",15594,1342,2684,537
"04023","Santa Cruz County, Arizona",1395,325,454,153
"04025","Yavapai County, Arizona",10159,726,1532,403
"04027","Yuma County, Arizona",9300,862,1053,252
"05001","Arkansas County, Arkansas",498,142,213,142
"05003","Ashley County, Arkansas",332,138,124,85
"05005","Baxter County, Arkansas",1087,239,237,141
"05007","Benton County, Arkansas",10541,850,2494,427
"05009","Boone County, Arkansas",905,198,146,89
"05011","Bradley County, Arkansas",185,71,19,21
"05013","Calhoun County, Arkansas",242,52,27,42
