"GEOID","NAME","med_incE","med_incM"
"01","Alabama",59609,377
"02","Alaska",86370,1083
"04","Arizona",72581,450
"05","Arkansas",56335,422
"06","California",91905,277
"08","Colorado",87598,508
"09","Connecticut",90213,730
"10","Delaware",79325,1227
"11","District of Columbia",101722,1569
"12","Florida",67917,259
"13","Georgia",71355,353
"15","Hawaii",94814,994
"16","Idaho",70214,715
"17","Illinois",78433,297
"18","Indiana",67173,383
"19","Iowa",70571,395
"20","Kansas",69747,479
"21","Kentucky",60183,443
"22","Louisiana",57852,468
"23","Maine",68251,611
"24","Maryland",98461,511
"25","Massachusetts",96505,551
"26","Michigan",68505,307
"27","Minnesota",84313,348
"28","Mississippi",52985,527
"29","Missouri",65920,361
"30","Montana",66341,748
"31","Nebraska",71722,577
"32","Nevada",71646,495
"33","New Hampshire",90845,966
"34","New Jersey",97126,605
"35","New Mexico",58722,581
"36","New York",81386,350
"37","North Carolina",66186,380
"38","North Dakota",73959,1131
"39","Ohio",66990,272
"40","Oklahoma",61364,451
"41","Oregon",76632,539
"42","Pennsylvania",73170,347
"44","Rhode Island",81370,1213
"45","South Carolina",63623,486
"46","South Dakota",69457,788
"47","Tennessee",64035,350
"48","Texas",73035,227
"49","Utah",86833,674
"50","Vermont",74014,1049
"51","Virginia",87249,428
"53","Washington",90325,433
"54","West Virginia",55217,577
"55","Wisconsin",72458,372
"56","Wyoming",72495,1201
"72","Puerto Rico",24002,222
