GEOID,State,med_incE
1,Alabama,59609
2,Alaska,86370
4,Arizona,72581
5,Arkansas,56335
6,California,91905
8,Colorado,87598
9,Connecticut,90213
10,Delaware,79325
11,District of Columbia,101722
12,Florida,67917
13,Georgia,71355
15,Hawaii,94814
16,Idaho,70214
17,Illinois,78433
18,Indiana,67173
19,Iowa,70571
20,Kansas,69747
21,Kentucky,60183
22,Louisiana,57852
23,Maine,68251
24,Maryland,98461
25,Massachusetts,96505
26,Michigan,68505
27,Minnesota,84313
28,Mississippi,52985
29,Missouri,65920
30,Montana,66341
31,Nebraska,71722
32,Nevada,71646
33,New Hampshire,90845
34,New Jersey,97126
35,New Mexico,58722
36,New York,81386
37,North Carolina,66186
38,North Dakota,73959
39,Ohio,66990
40,Oklahoma,61364
41,Oregon,76632
42,Pennsylvania,73170
44,Rhode Island,81370
45,South Carolina,63623
46,South Dakota,69457
47,Tennessee,64035
48,Texas,73035
49,Utah,86833
50,Vermont,74014
51,Virginia,87249
53,Washington,90325
54,West Virginia,55217
55,Wisconsin,72458
56,Wyoming,72495
72,Puerto Rico,24002
