SUFFIX,POP100,GEOID,CENTLAT,BLOCK,AREAWATER,STATE,BASENAME,OID,LSADC,INTPTLAT,FUNCSTAT,NAME,OBJECTID,TRACT,CENTLON,BLKGRP,AREALAND,HU100,INTPTLON,MTFCC,LWBLKTYP,UR,COUNTY
,67,010010208013017,+32.4727150,3017,0,01,3017,210701003202859,BK,+32.4727150,S,Block 3017,4874056,020801,-086.5321356,3,1580110,25,-086.5321356,G5040,L,R,001
,546,010010203001011,+32.4741161,1011,9054,01,1011,210701003205525,BK,+32.4740862,S,Block 1011,3598850,020300,-086.4644315,1,1274691,237,-086.4644304,G5040,B,U,001
,10,010010202002016,+32.4603836,2016,0,01,2016,210701003205477,BK,+32.4603836,S,Block 2016,5774380,020200,-086.4712609,2,46802,5,-086.4712609,G5040,L,U,001
,17,010010207002015,+32.4558636,2015,0,01,2015,210701003205437,BK,+32.4558636,S,Block 2015,4750258,020700,-086.4659845,2,24475,8,-086.4659845,G5040,L,U,001
,0,010010202002015,+32.4619589,2015,0,01,2015,210701003205476,BK,+32.4619589,S,Block 2015,5774379,020200,-086.4710983,2,47360,0,-086.4710983,G5040,L,U,001
,0,010030116012040,+30.4112061,2040,0,01,2040,210701001951476,BK,+30.4112061,S,Block 2040,3482618,011601,-087.6005206,2,17778,0,-087.6005206,G5040,L,U,003
,3,010030108002040,+30.6002600,2040,0,01,2040,210701001952159,BK,+30.6002600,S,Block 2040,3483765,010800,-087.9036292,2,33816,1,-087.9036292,G5040,L,U,003
,8,010030112021017,+30.5108259,1017,0,01,1017,210701001952888,BK,+30.5108259,S,Block 1017,3483788,011202,-087.9003107,1,77872,3,-087.9003107,G5040,L,U,003
,3,010030109081025,+30.5623770,1025,0,01,1025,210701001953829,BK,+30.5623770,S,Block 1025,4786204,010908,-087.7148580,1,156517,3,-087.7148580,G5040,L,U,003
,585,010030114132000,+30.3194009,2000,669,01,2000,210701001953322,BK,+30.3206483,S,Block 2000,4778390,011413,-087.6730680,2,2815043,323,-087.6678560,G5040,B,U,003
,36,010030116012025,+30.4101590,2025,4748,01,2025,210701001951473,BK,+30.4101609,S,Block 2025,3482034,011601,-087.6089626,2,511394,26,-087.6089430,G5040,B,R,003
,6,010030107093065,+30.5564407,3065,15435,01,3065,210701001951427,BK,+30.5564442,S,Block 3065,3853347,010709,-087.8438741,3,3913706,5,-087.8438659,G5040,B,R,003
,233,010030107093007,+30.5993834,3007,0,01,3007,210701001949576,BK,+30.6007585,S,Block 3007,4893865,010709,-087.8400539,3,632231,85,-087.8415245,G5040,L,U,003
,26,010030115011098,+30.4545157,1098,2629,01,1098,210701001954993,BK,+30.4549938,S,Block 1098,5801428,011501,-087.7042369,1,629011,9,-087.7027695,G5040,B,R,003
,26,010030115011098,+30.4545157,1098,2629,01,1098,210701001954993,BK,+30.4549938,S,Block 1098,5801428,011501,-087.7042369,1,629011,9,-087.7027695,G5040,B,R,003
,16,010030115033008,+30.3916329,3008,0,01,3008,210701001952233,BK,+30.3916329,S,Block 3008,7084718,011503,-087.6907426,3,20176,3,-087.6907426,G5040,L,U,003
,8,010059506001019,+31.8854218,1019,0,01,1019,210701005037389,BK,+31.8854218,S,Block 1019,348525,950600,-085.1461702,1,15285,3,-085.1461702,G5040,L,U,005
,76,010090503012030,+34.0919638,2030,0,01,2030,210701003211475,BK,+34.0919638,S,Block 2030,8071697,050301,-086.4342682,2,1360092,31,-086.4342682,G5040,L,R,009
,21,010090501072038,+33.8848100,2038,0,01,2038,210701003210132,BK,+33.8848100,S,Block 2038,4373849,050107,-086.4069536,2,763266,11,-086.4069536,G5040,L,R,009
,11,010119522021008,+32.1424852,1008,0,01,1008,210701003601409,BK,+32.1424852,S,Block 1008,5673138,952202,-085.6997104,1,327226,8,-085.6997104,G5040,L,R,011
,40,010139529002012,+31.8361092,2012,0,01,2012,210701000585277,BK,+31.8361092,S,Block 2012,1809917,952900,-086.6425956,2,138095,16,-086.6425956,G5040,L,U,013
,23,010150007003038,+33.7175456,3038,0,01,3038,210701005071255,BK,+33.7175456,S,Block 3038,2258728,000700,-085.8145351,3,126967,12,-085.8145351,G5040,L,U,015
,57,010150009001013,+33.6541672,1013,0,01,1013,210701005070588,BK,+33.6541672,S,Block 1013,2258722,000900,-085.7938612,1,457110,26,-085.7938612,G5040,L,U,015
,40,010150012023007,+33.5908462,3007,0,01,3007,210701005071681,BK,+33.5908462,S,Block 3007,2538129,001202,-085.8724089,3,67614,18,-085.8724089,G5040,L,U,015
,203,010150002002000,+33.6661067,2000,0,01,2000,210701005069529,BK,+33.6661067,S,Block 2000,176061,000200,-085.8083517,2,1043425,104,-085.8083517,G5040,L,U,015
,14,010150003001043,+33.6696531,1043,0,01,1043,210701005069638,BK,+33.6696531,S,Block 1043,786017,000300,-085.8304300,1,16920,6,-085.8304300,G5040,L,U,015
,0,010150007004033,+33.7242735,4033,0,01,4033,210701005068456,BK,+33.7242735,S,Block 4033,958624,000700,-085.7925688,4,67936,0,-085.7925688,G5040,L,R,015
,33,010150023001059,+33.9192354,1059,81910,01,1059,210701005067761,BK,+33.9209027,S,Block 1059,433010,002300,-085.7103289,1,5311276,15,-085.7056667,G5040,B,R,015
,0,010179540024022,+32.8670032,4022,0,01,4022,210701005078175,BK,+32.8670032,S,Block 4022,2370389,954002,-085.4024505,4,3943742,0,-085.4024505,G5040,L,R,017
,6,010179539002007,+32.8752372,2007,0,01,2007,210701005077431,BK,+32.8752372,S,Block 2007,1134658,953900,-085.2110170,2,302975,3,-085.2110170,G5040,L,R,017
,0,010179547001012,+32.8048682,1012,0,01,1012,210701005078412,BK,+32.8048682,S,Block 1012,1015271,954700,-085.1774518,1,18610,0,-085.1774518,G5040,L,U,017
,31,010179543001014,+32.8192599,1014,0,01,1014,210701005078382,BK,+32.8192599,S,Block 1014,2017484,954300,-085.1947431,1,229175,13,-085.1947431,G5040,L,R,017
