"GEOID","NAME","B01003_001E","B01003_001M","area_km2","pop_density"
"01069","Houston County, Alabama",107040,NA,1506.2733912158,71.0627968496486
"01023","Choctaw County, Alabama",12669,NA,2385.51772702303,5.31079683730126
"01005","Barbour County, Alabama",24877,NA,2342.58804968988,10.6194514239468
"01107","Pickens County, Alabama",18925,NA,2304.07514777977,8.21370779431231
"01033","Colbert County, Alabama",57270,NA,1614.68371683215,35.4682464454142
"04012","La Paz County, Arizona",16681,NA,11683.7100723918,1.42771430450133
"04001","Apache County, Arizona",66054,NA,29058.0061202435,2.27317730358598
"05081","Little River County, Arkansas",12024,NA,1459.07858970301,8.24081724237171
"05121","Randolph County, Arkansas",18619,NA,1698.93921789634,10.9591913612156
"06037","Los Angeles County, California",9936690,NA,10598.7719642185,937.532200291346
"06097","Sonoma County, California",488436,NA,4114.72007278309,118.70455130855
"06001","Alameda County, California",1663823,NA,1943.32603163489,856.172856697778
"06045","Mendocino County, California",91145,NA,9102.47392934449,10.0132118704748
"06015","Del Norte County, California",27462,NA,2629.29319996942,10.4446320403976
"08077","Mesa County, Colorado",156131,NA,8653.60399855171,18.0423093113725
"08083","Montezuma County, Colorado",26070,NA,5285.32111264772,4.9325290638661
"08067","La Plata County, Colorado",55983,NA,4402.36590775534,12.716571310299
"06055","Napa County, California",137384,NA,2051.91273651652,66.9541143514871
"10005","Sussex County, Delaware",240668,NA,2534.06928336861,94.9729360517219
"12086","Miami-Dade County, Florida",2688237,NA,5228.29629267297,514.17074502211
"12071","Lee County, Florida",772902,NA,2294.78608221544,336.80786457177
"12037","Franklin County, Florida",12276,NA,1467.9837253324,8.36249052912378
"12033","Escambia County, Florida",321296,NA,1932.14625449732,166.289689122727
"17031","Cook County, Illinois",5225367,NA,2479.95532955388,2107.04077518203
"17017","Cass County, Illinois",12955,NA,993.72155006932,13.0368512176236
"17109","McDonough County, Illinois",27370,NA,1528.54384287607,17.9059306198906
"13245","Richmond County, Georgia",206153,NA,851.131419318239,242.21053919632
"17041","Douglas County, Illinois",19714,NA,1080.6303730017,18.2430556206187
"13103","Effingham County, Georgia",65314,NA,1250.98904791652,52.2098895340277
"16027","Canyon County, Idaho",235006,NA,1563.28495934801,150.328318963686
"26103","Marquette County, Michigan",66376,NA,4844.36982757806,13.7016789308971
"18061","Harrison County, Indiana",39684,NA,1258.90977858012,31.5225131103186
"19177","Van Buren County, Iowa",7207,NA,1270.76299217653,5.67139588134845
"19045","Clinton County, Iowa",46488,NA,1839.39366528351,25.2735457762026
"19163","Scott County, Iowa",174315,NA,1212.65949297025,143.746040014117
"18161","Union County, Indiana",7041,NA,427.994597620216,16.4511422320519
"26107","Mecosta County, Michigan",40128,NA,1479.47694754673,27.123099191603
"26063","Huron County, Michigan",31461,NA,2166.25550303992,14.5232175779129
"36067","Onondaga County, New York",472637,NA,2086.50711367953,226.520675104007
"20175","Seward County, Kansas",21942,NA,1658.5709549109,13.229461142456
"36071","Orange County, New York",401237,NA,2171.68740903006,184.758173911965
"08031","Denver County, Colorado",710800,NA,400.67594196736,1774.00219366778
"36017","Chenango County, New York",47096,NA,2327.54385679749,20.2342051955147
"21101","Henderson County, Kentucky",44770,NA,1205.4489504009,37.1396897273094
"21195","Pike County, Kentucky",58196,NA,2042.58041912792,28.4914118705038
"08019","Clear Creek County, Colorado",9403,NA,1025.74808716039,9.16696810620488
"08055","Huerfano County, Colorado",6896,NA,4126.41536712319,1.67118416021402
"21093","Hardin County, Kentucky",111005,NA,1632.24146997544,68.0077072185098
"21127","Lawrence County, Kentucky",16228,NA,1087.91926096484,14.9165481136973
"26099","Macomb County, Michigan",878453,NA,1253.79969670225,700.632646754112
"21135","Lewis County, Kentucky",13063,NA,1282.46805411905,10.1858287682442
"22051","Jefferson Parish, Louisiana",436171,NA,1321.47846565872,330.062888904194
"22111","Union Parish, Louisiana",21049,NA,2344.1771967532,8.97927000960247
"22067","Morehouse Parish, Louisiana",25438,NA,2087.69714173929,12.1847175490249
"08091","Ouray County, Colorado",4936,NA,1404.27867690457,3.51497183655908
"23013","Knox County, Maine",40729,NA,1058.86771751075,38.4646725237297
"23015","Lincoln County, Maine",35466,NA,1336.35712824782,26.539312920418
"02170","Matanuska-Susitna Borough, Alaska",108661,NA,64680.668115492,1.67996100173205
"02290","Yukon-Koyukuk Census Area, Alaska",5355,NA,382990.721269132,0.0139820619733421
