,GEOID,bachelors_educationE,bachelors_educationM,masters_educationE,masters_educationM,County,State
0,1001,2430,431,400,146,Autauga County,Alabama
1,1003,7417,1020,1248,323,Baldwin County,Alabama
2,1005,841,196,177,103,Barbour County,Alabama
3,1007,461,193,98,118,Bibb County,Alabama
4,1009,1754,326,326,115,Blount County,Alabama
5,1011,414,228,19,32,Bullock County,Alabama
6,1013,624,160,57,35,Butler County,Alabama
7,1015,7125,622,821,225,Calhoun County,Alabama
8,1017,1362,259,189,115,Chambers County,Alabama
9,1019,934,213,182,114,Cherokee County,Alabama
10,1021,1463,372,49,38,Chilton County,Alabama
11,1023,540,148,4,12,Choctaw County,Alabama
12,1025,758,225,90,75,Clarke County,Alabama
13,1027,535,191,60,54,Clay County,Alabama
14,1029,318,99,16,20,Cleburne County,Alabama
15,1031,2398,361,520,145,Coffee County,Alabama
16,1033,1665,315,251,108,Colbert County,Alabama
17,1035,233,109,130,91,Conecuh County,Alabama
18,1037,125,61,50,37,Coosa County,Alabama
19,1039,842,184,196,94,Covington County,Alabama
20,1041,278,100,35,31,Crenshaw County,Alabama
21,1043,2974,394,617,232,Cullman County,Alabama
22,1045,1631,291,305,128,Dale County,Alabama
23,1047,1003,197,363,184,Dallas County,Alabama
24,1049,2454,395,308,113,DeKalb County,Alabama
25,1051,3619,611,649,281,Elmore County,Alabama
26,1053,753,202,145,84,Escambia County,Alabama
27,1055,3938,457,742,209,Etowah County,Alabama
28,1057,630,191,15,16,Fayette County,Alabama
29,1059,1231,273,213,129,Franklin County,Alabama
30,1061,1059,214,157,93,Geneva County,Alabama
31,1063,98,67,56,75,Greene County,Alabama
32,1065,481,147,76,81,Hale County,Alabama
33,1067,351,100,133,87,Henry County,Alabama
34,1069,4205,299,987,168,Houston County,Alabama
35,1071,1541,348,247,74,Jackson County,Alabama
36,1073,34136,1685,11704,941,Jefferson County,Alabama
37,1075,433,125,28,36,Lamar County,Alabama
38,1077,6575,517,1025,271,Lauderdale County,Alabama
39,1079,1013,211,213,121,Lawrence County,Alabama
40,1081,24979,1230,5342,605,Lee County,Alabama
41,1083,4245,536,1110,293,Limestone County,Alabama
42,1085,257,91,37,31,Lowndes County,Alabama
43,1087,3131,220,175,65,Macon County,Alabama
44,1089,26705,1370,7118,857,Madison County,Alabama
45,1091,1071,302,92,61,Marengo County,Alabama
46,1093,815,212,56,43,Marion County,Alabama
47,1095,3195,336,698,179,Marshall County,Alabama
48,1097,18074,1022,3720,440,Mobile County,Alabama
49,1099,488,170,124,81,Monroe County,Alabama
50,1101,12033,843,4292,685,Montgomery County,Alabama
51,1103,4636,652,583,178,Morgan County,Alabama
52,1105,1027,194,0,18,Perry County,Alabama
53,1107,879,187,46,36,Pickens County,Alabama
54,1109,5344,441,742,256,Pike County,Alabama
55,1111,1066,171,80,50,Randolph County,Alabama
56,1113,3277,697,640,232,Russell County,Alabama
57,1115,3061,612,378,149,St. Clair County,Alabama
58,1117,10199,780,3478,505,Shelby County,Alabama
59,1119,1767,232,131,94,Sumter County,Alabama
60,1121,3600,469,418,167,Talladega County,Alabama
61,1123,1287,253,84,67,Tallapoosa County,Alabama
62,1125,30461,1335,4446,577,Tuscaloosa County,Alabama
63,1127,2024,304,413,163,Walker County,Alabama
64,1129,465,134,59,65,Washington County,Alabama
65,1131,183,89,37,22,Wilcox County,Alabama
66,1133,505,159,129,64,Winston County,Alabama
67,2013,81,25,42,31,Aleutians East Borough,Alaska
68,2016,130,28,30,41,Aleutians West Census Area,Alaska
69,2020,14050,830,3398,483,Anchorage Municipality,Alaska
70,2050,265,141,55,31,Bethel Census Area,Alaska
71,2060,21,12,8,7,Bristol Bay Borough,Alaska
72,2063,268,116,102,74,Chugach Census Area,Alaska
73,2066,49,32,19,19,Copper River Census Area,Alaska
74,2068,99,108,21,19,Denali Borough,Alaska
75,2070,72,42,18,27,Dillingham Census Area,Alaska
76,2090,6595,829,1936,493,Fairbanks North Star Borough,Alaska
77,2100,4,5,0,10,Haines Borough,Alaska
78,2105,35,18,16,14,Hoonah-Angoon Census Area,Alaska
79,2110,1365,310,446,176,Juneau City and Borough,Alaska
80,2122,1558,225,441,154,Kenai Peninsula Borough,Alaska
81,2130,367,94,111,46,Ketchikan Gateway Borough,Alaska
82,2150,513,160,154,81,Kodiak Island Borough,Alaska
83,2158,82,35,11,16,Kusilvak Census Area,Alaska
84,2164,20,13,9,8,Lake and Peninsula Borough,Alaska
85,2170,3477,299,841,147,Matanuska-Susitna Borough,Alaska
86,2180,184,52,98,40,Nome Census Area,Alaska
87,2185,268,113,81,78,North Slope Borough,Alaska
88,2188,75,25,36,23,Northwest Arctic Borough,Alaska
89,2195,61,26,22,14,Petersburg Borough,Alaska
90,2198,142,46,34,16,Prince of Wales-Hyder Census Area,Alaska
91,2220,381,105,143,59,Sitka City and Borough,Alaska
92,2230,69,64,0,10,Skagway Municipality,Alaska
93,2240,96,49,80,42,Southeast Fairbanks Census Area,Alaska
94,2275,10,7,5,4,Wrangell City and Borough,Alaska
95,2282,35,27,0,10,Yakutat City and Borough,Alaska
96,2290,125,56,52,30,Yukon-Koyukuk Census Area,Alaska
97,4001,2693,295,196,77,Apache County,Arizona
98,4003,5798,534,1180,270,Cochise County,Arizona
99,4005,21433,906,3437,694,Coconino County,Arizona
100,4007,1367,254,334,167,Gila County,Arizona
101,4009,1977,327,167,126,Graham County,Arizona
102,4011,219,104,12,21,Greenlee County,Arizona
103,4012,366,163,46,42,La Paz County,Arizona
104,4013,220397,4196,58609,2223,Maricopa County,Arizona
105,4015,5778,790,1370,437,Mohave County,Arizona
106,4017,2650,319,651,231,Navajo County,Arizona
107,4019,68475,1720,16207,1079,Pima County,Arizona
108,4021,15594,1342,2684,537,Pinal County,Arizona
109,4023,1395,325,454,153,Santa Cruz County,Arizona
110,4025,10159,726,1532,403,Yavapai County,Arizona
111,4027,9300,862,1053,252,Yuma County,Arizona
112,5001,498,142,213,142,Arkansas County,Arkansas
113,5003,332,138,124,85,Ashley County,Arkansas
114,5005,1087,239,237,141,Baxter County,Arkansas
115,5007,10541,850,2494,427,Benton County,Arkansas
116,5009,905,198,146,89,Boone County,Arkansas
117,5011,185,71,19,21,Bradley County,Arkansas
118,5013,242,52,27,42,Calhoun County,Arkansas
119,5015,651,190,91,48,Carroll County,Arkansas
120,5017,188,99,19,18,Chicot County,Arkansas
121,5019,3831,251,133,62,Clark County,Arkansas
122,5021,306,101,71,51,Clay County,Arkansas
123,5023,383,102,88,51,Cleburne County,Arkansas
124,5025,346,128,105,68,Cleveland County,Arkansas
125,5027,2740,330,262,133,Columbia County,Arkansas
126,5029,866,236,131,81,Conway County,Arkansas
127,5031,6581,533,2269,541,Craighead County,Arkansas
128,5033,1504,323,273,156,Crawford County,Arkansas
129,5035,1756,307,342,138,Crittenden County,Arkansas
130,5037,450,144,152,116,Cross County,Arkansas
131,5039,323,147,14,18,Dallas County,Arkansas
132,5041,276,107,59,40,Desha County,Arkansas
133,5043,1775,229,193,119,Drew County,Arkansas
134,5045,11738,684,1865,383,Faulkner County,Arkansas
135,5047,463,161,103,93,Franklin County,Arkansas
136,5049,199,85,52,57,Fulton County,Arkansas
137,5051,2652,486,788,234,Garland County,Arkansas
138,5053,506,152,138,128,Grant County,Arkansas
139,5055,1335,275,393,178,Greene County,Arkansas
140,5057,471,170,141,105,Hempstead County,Arkansas
141,5059,855,216,132,89,Hot Spring County,Arkansas
142,5061,292,118,74,94,Howard County,Arkansas
143,5063,1951,302,238,85,Independence County,Arkansas
144,5065,263,108,88,69,Izard County,Arkansas
145,5067,479,141,101,63,Jackson County,Arkansas
146,5069,3480,420,538,160,Jefferson County,Arkansas
147,5071,1105,133,82,59,Johnson County,Arkansas
148,5073,88,46,14,18,Lafayette County,Arkansas
149,5075,825,135,38,28,Lawrence County,Arkansas
150,5077,109,42,9,20,Lee County,Arkansas
151,5079,277,104,37,29,Lincoln County,Arkansas
152,5081,152,65,117,88,Little River County,Arkansas
153,5083,826,209,113,55,Logan County,Arkansas
154,5085,2493,387,499,179,Lonoke County,Arkansas
155,5087,398,180,85,86,Madison County,Arkansas
156,5089,326,108,110,81,Marion County,Arkansas
157,5091,1130,270,325,149,Miller County,Arkansas
158,5093,1296,252,388,172,Mississippi County,Arkansas
159,5095,210,101,97,55,Monroe County,Arkansas
160,5097,218,87,29,24,Montgomery County,Arkansas
161,5099,338,118,36,57,Nevada County,Arkansas
162,5101,182,102,21,25,Newton County,Arkansas
163,5103,618,139,139,68,Ouachita County,Arkansas
164,5105,334,124,28,27,Perry County,Arkansas
165,5107,462,139,73,48,Phillips County,Arkansas
166,5109,390,118,20,23,Pike County,Arkansas
167,5111,622,187,108,62,Poinsett County,Arkansas
168,5113,415,138,100,61,Polk County,Arkansas
169,5115,5315,453,377,125,Pope County,Arkansas
170,5117,192,52,58,45,Prairie County,Arkansas
171,5119,15982,1236,6852,831,Pulaski County,Arkansas
172,5121,411,175,59,47,Randolph County,Arkansas
173,5123,512,161,209,110,St. Francis County,Arkansas
174,5125,3612,591,872,328,Saline County,Arkansas
175,5127,312,133,16,31,Scott County,Arkansas
176,5129,120,78,34,37,Searcy County,Arkansas
177,5131,5180,643,1301,310,Sebastian County,Arkansas
178,5133,453,148,69,64,Sevier County,Arkansas
179,5135,374,122,130,73,Sharp County,Arkansas
180,5137,157,124,51,36,Stone County,Arkansas
181,5139,1194,259,185,97,Union County,Arkansas
182,5141,292,152,60,67,Van Buren County,Arkansas
183,5143,22344,1394,4123,560,Washington County,Arkansas
184,5145,5236,431,857,259,White County,Arkansas
185,5147,139,71,7,11,Woodruff County,Arkansas
186,5149,552,135,75,51,Yell County,Arkansas
187,6001,102328,2057,33617,1585,Alameda County,California
188,6003,88,82,32,38,Alpine County,California
189,6005,2199,379,144,85,Amador County,California
190,6007,22220,1128,2465,447,Butte County,California
191,6009,1556,304,191,136,Calaveras County,California
192,6011,828,183,106,58,Colusa County,California
193,6013,66246,2003,13853,920,Contra Costa County,California
194,6015,849,229,114,78,Del Norte County,California
195,6017,8174,729,1779,365,El Dorado County,California
196,6019,63689,2033,11634,1021,Fresno County,California
197,6021,843,222,77,55,Glenn County,California
198,6023,10979,779,1704,399,Humboldt County,California
199,6025,11569,1006,1143,323,Imperial County,California
200,6027,592,191,79,49,Inyo County,California
201,6029,49629,1977,9038,918,Kern County,California
202,6031,9091,798,1224,276,Kings County,California
203,6033,2329,471,634,273,Lake County,California
204,6035,962,225,67,38,Lassen County,California
205,6037,644395,6408,157195,3319,Los Angeles County,California
206,6039,10035,912,1179,348,Madera County,California
207,6041,12353,918,2956,461,Marin County,California
208,6043,447,173,151,115,Mariposa County,California
209,6045,3585,553,883,278,Mendocino County,California
210,6047,19283,1063,2130,375,Merced County,California
211,6049,244,102,63,50,Modoc County,California
212,6051,523,197,31,38,Mono County,California
213,6053,25841,1222,5851,587,Monterey County,California
214,6055,8083,494,1464,255,Napa County,California
215,6057,2889,399,870,213,Nevada County,California
216,6059,231517,3829,52592,1933,Orange County,California
217,6061,19647,935,3952,502,Placer County,California
218,6063,726,182,93,60,Plumas County,California
219,6065,152903,3512,27463,1833,Riverside County,California
220,6067,97314,2616,21083,1194,Sacramento County,California
221,6069,3164,355,616,202,San Benito County,California
222,6071,139844,3012,27723,1671,San Bernardino County,California
223,6073,228273,4186,51341,2222,San Diego County,California
224,6075,43474,1566,20459,1364,San Francisco County,California
225,6077,42720,1764,7797,781,San Joaquin County,California
226,6079,34109,1088,2315,422,San Luis Obispo County,California
227,6081,39998,1636,11619,931,San Mateo County,California
228,6083,50492,1764,7368,873,Santa Barbara County,California
229,6085,122015,2562,39311,1848,Santa Clara County,California
230,6087,29617,1374,5242,665,Santa Cruz County,California
231,6089,9080,626,1447,389,Shasta County,California
232,6091,252,161,0,13,Sierra County,California
233,6093,1884,246,336,125,Siskiyou County,California
234,6095,25652,1236,5061,604,Solano County,California
235,6097,26866,1373,4498,444,Sonoma County,California
236,6099,32556,1399,3953,553,Stanislaus County,California
237,6101,5533,546,765,168,Sutter County,California
238,6103,2604,492,499,223,Tehama County,California
239,6105,403,149,17,27,Trinity County,California
240,6107,25993,1576,3405,540,Tulare County,California
241,6109,2177,316,328,128,Tuolumne County,California
242,6111,52124,1488,8749,742,Ventura County,California
243,6113,34656,1011,7329,835,Yolo County,California
244,6115,4990,533,692,222,Yuba County,California
245,8001,18139,1299,6016,663,Adams County,Colorado
246,8003,1701,283,184,126,Alamosa County,Colorado
247,8005,26582,1445,9672,657,Arapahoe County,Colorado
248,8007,125,93,34,40,Archuleta County,Colorado
249,8009,129,55,8,8,Baca County,Colorado
250,8011,143,82,89,58,Bent County,Colorado
251,8013,36490,1498,8768,694,Boulder County,Colorado
252,8014,3190,412,1309,276,Broomfield County,Colorado
253,8015,467,181,131,104,Chaffee County,Colorado
254,8017,21,15,14,13,Cheyenne County,Colorado
255,8019,188,80,99,81,Clear Creek County,Colorado
256,8021,210,76,38,26,Conejos County,Colorado
257,8023,61,38,4,8,Costilla County,Colorado
258,8025,173,122,42,38,Crowley County,Colorado
259,8027,38,36,27,25,Custer County,Colorado
260,8029,613,232,197,76,Delta County,Colorado
261,8031,30014,1350,15987,1080,Denver County,Colorado
262,8033,39,41,0,13,Dolores County,Colorado
263,8035,14524,834,4632,634,Douglas County,Colorado
264,8037,2118,476,725,288,Eagle County,Colorado
265,8039,851,233,226,95,Elbert County,Colorado
266,8041,45115,1498,11808,988,El Paso County,Colorado
267,8043,1040,216,328,157,Fremont County,Colorado
268,8045,2263,426,684,207,Garfield County,Colorado
269,8047,169,88,30,40,Gilpin County,Colorado
270,8049,383,233,94,87,Grand County,Colorado
271,8051,2019,290,318,130,Gunnison County,Colorado
272,8053,23,25,4,5,Hinsdale County,Colorado
273,8055,190,79,31,34,Huerfano County,Colorado
274,8057,54,37,29,26,Jackson County,Colorado
275,8059,25263,1029,7890,526,Jefferson County,Colorado
276,8061,47,23,1,2,Kiowa County,Colorado
277,8063,159,62,57,48,Kit Carson County,Colorado
278,8065,579,328,211,107,Lake County,Colorado
279,8067,3411,374,676,220,La Plata County,Colorado
280,8069,34839,1363,8138,851,Larimer County,Colorado
281,8071,764,153,72,42,Las Animas County,Colorado
282,8073,88,46,21,14,Lincoln County,Colorado
283,8075,943,183,161,68,Logan County,Colorado
284,8077,8292,712,1200,304,Mesa County,Colorado
285,8079,2,4,0,13,Mineral County,Colorado
286,8081,245,93,156,90,Moffat County,Colorado
287,8083,400,149,102,78,Montezuma County,Colorado
288,8085,1069,242,149,80,Montrose County,Colorado
289,8087,650,206,154,86,Morgan County,Colorado
290,8089,856,167,108,59,Otero County,Colorado
291,8091,76,56,45,42,Ouray County,Colorado
292,8093,355,150,29,31,Park County,Colorado
293,8095,94,51,107,74,Phillips County,Colorado
294,8097,511,145,141,73,Pitkin County,Colorado
295,8099,480,121,161,71,Prowers County,Colorado
296,8101,7299,668,1474,323,Pueblo County,Colorado
297,8103,330,93,60,40,Rio Blanco County,Colorado
298,8105,494,172,76,43,Rio Grande County,Colorado
299,8107,815,160,216,111,Routt County,Colorado
300,8109,138,77,11,18,Saguache County,Colorado
301,8111,11,18,3,5,San Juan County,Colorado
302,8113,47,33,108,57,San Miguel County,Colorado
303,8115,41,19,9,14,Sedgwick County,Colorado
304,8117,1191,371,494,348,Summit County,Colorado
305,8119,724,260,361,189,Teller County,Colorado
306,8121,114,46,16,12,Washington County,Colorado
307,8123,16909,928,4212,541,Weld County,Colorado
308,8125,297,149,58,43,Yuma County,Colorado
309,9110,63785,1717,17025,1254,Capitol Planning Region,Connecticut
310,9120,21385,1118,5638,832,Greater Bridgeport Planning Region,Connecticut
311,9130,11005,746,3230,581,Lower Connecticut River Valley Planning Region,Connecticut
312,9140,20258,1194,5713,737,Naugatuck Valley Planning Region,Connecticut
313,9150,3857,447,650,170,Northeastern Connecticut Planning Region,Connecticut
314,9160,4459,443,1153,254,Northwest Hills Planning Region,Connecticut
315,9170,40684,1138,14499,1015,South Central Connecticut Planning Region,Connecticut
316,9180,16856,878,3489,462,Southeastern Connecticut Planning Region,Connecticut
317,9190,28797,1426,9586,850,Western Connecticut Planning Region,Connecticut
318,10001,10635,751,2675,541,Kent County,Delaware
319,10003,33202,1529,8928,727,New Castle County,Delaware
320,10005,7026,614,2064,381,Sussex County,Delaware
321,11001,35568,1419,23369,1479,District of Columbia,District of Columbia
322,12001,45870,1324,13986,1216,Alachua County,Florida
323,12003,1002,220,187,136,Baker County,Florida
324,12005,7112,817,1690,366,Bay County,Florida
325,12007,1163,315,170,176,Bradford County,Florida
326,12009,26270,1485,6837,776,Brevard County,Florida
327,12011,95693,3054,30657,1868,Broward County,Florida
328,12013,488,175,48,40,Calhoun County,Florida
329,12015,5238,601,709,241,Charlotte County,Florida
330,12017,3716,493,896,374,Citrus County,Florida
331,12019,10116,1041,2220,480,Clay County,Florida
332,12021,13461,1070,2948,513,Collier County,Florida
333,12023,2077,364,390,165,Columbia County,Florida
334,12027,688,189,65,58,DeSoto County,Florida
335,12029,435,141,67,57,Dixie County,Florida
336,12031,49457,2102,10889,1083,Duval County,Florida
337,12033,19322,1000,3310,617,Escambia County,Florida
338,12035,4382,563,782,249,Flagler County,Florida
339,12037,280,103,22,19,Franklin County,Florida
340,12039,1469,331,110,67,Gadsden County,Florida
341,12041,356,124,107,59,Gilchrist County,Florida
342,12043,306,120,2,7,Glades County,Florida
343,12045,444,134,71,74,Gulf County,Florida
344,12047,101,64,13,22,Hamilton County,Florida
345,12049,721,176,60,47,Hardee County,Florida
346,12051,1465,377,347,201,Hendry County,Florida
347,12053,7984,671,1110,323,Hernando County,Florida
348,12055,2538,427,634,203,Highlands County,Florida
349,12057,85248,2009,22221,1114,Hillsborough County,Florida
350,12059,559,170,21,27,Holmes County,Florida
351,12061,5635,953,1740,418,Indian River County,Florida
352,12063,1790,232,426,158,Jackson County,Florida
353,12065,509,164,167,70,Jefferson County,Florida
354,12067,415,139,13,19,Lafayette County,Florida
355,12069,11697,1123,2965,607,Lake County,Florida
356,12071,29058,1417,6638,772,Lee County,Florida
357,12073,46598,1379,10608,948,Leon County,Florida
358,12075,1493,277,240,102,Levy County,Florida
359,12077,351,139,61,53,Liberty County,Florida
360,12079,367,145,74,54,Madison County,Florida
361,12081,13527,1204,3266,581,Manatee County,Florida
