"County","State","X.x","Unnamed..0","total_popE","total_popM","whiteE","whiteM","blackE","blackM","native_americanE","native_americanM","asianE","asianM","pacific_islanderE","pacific_islanderM","other_raceE","other_raceM","two_or_moreE","two_or_moreM","med_incE","med_incM","hispanicE","hispanicM","poverty_incomeE","poverty_incomeM","poverty_totalE","poverty_totalM","number_of_schools","schools_per_capita","schools_per_10000","considered_low_income","poverty_rate","X.y","GEOID","bachelors_educationE","bachelors_educationM","masters_educationE","masters_educationM"
"Abbeville County","South Carolina",1465,14427,24368,NA,16915,163,6372,167,28,27,58,90,0,25,155,109,840,204,49759,4901,441,NA,3752,544,23589,21,2,8.20748522652659e-05,0.820748522652659,50898.4,15.905718767222,2318,45001,1207,187,188,99
"Acadia Parish","Louisiana",631,6943,57674,NA,45230,374,9511,508,248,296,95,62,0,33,157,156,2433,586,44977,2841,1780,NA,13459,1475,56735,141,5,8.66941776190311e-05,0.866941776190311,46281.6,23.722569842249,1115,22001,1670,366,225,171
"Ada County","Idaho",385,5395,497494,NA,429014,1811,6260,619,2938,708,12867,819,1081,176,11544,1341,33790,1932,83881,1783,44317,NA,42460,2732,484201,347,33,6.63324582809039e-05,0.663324582809039,56171.2,8.76908556570515,553,16001,27556,1401,7297,899
"Adair County","Missouri",888,8923,7479,NA,7192,59,48,35,0,15,9,11,12,17,57,46,161,56,63172,4508,196,NA,736,177,7304,15,1,0.0001337077149351,1.33707714935152,52736,10.0766703176342,1485,29001,5164,456,635,147
"Adams County","Colorado",149,2548,35827,NA,33860,262,213,101,9,12,51,45,0,27,397,182,1297,298,61731,3337,1673,NA,4040,659,35257,60,20,0.00055823820024,5.58238200240042,70078.4,11.4587174178177,245,8001,18139,1299,6016,663
"Adams County","Idaho",400,5450,35827,NA,33860,262,213,101,9,12,51,45,0,27,397,182,1297,298,61731,3337,1673,NA,4040,659,35257,60,1,2.79119100120021e-05,0.279119100120021,56171.2,11.4587174178177,554,16003,97,56,42,21
"Adams County","Illinois",413,5515,35827,NA,33860,262,213,101,9,12,51,45,0,27,397,182,1297,298,61731,3337,1673,NA,4040,659,35257,60,4,0.000111647640048,1.11647640048008,62746.4,11.4587174178177,597,17001,2119,324,608,168
"Adams County","Indiana",470,6223,35827,NA,33860,262,213,101,9,12,51,45,0,27,397,182,1297,298,61731,3337,1673,NA,4040,659,35257,60,40,0.00111647640048,11.1647640048008,53738.4,11.4587174178177,699,18001,819,162,195,107
"Adams County","Mississippi",927,9071,35827,NA,33860,262,213,101,9,12,51,45,0,27,397,182,1297,298,61731,3337,1673,NA,4040,659,35257,60,1,2.79119100120021e-05,0.279119100120021,42388,11.4587174178177,1403,28001,995,201,45,40
"Adams County","Nebraska",1090,9744,35827,NA,33860,262,213,101,9,12,51,45,0,27,397,182,1297,298,61731,3337,1673,NA,4040,659,35257,60,3,8.37357300360064e-05,0.837357300360064,57377.6,11.4587174178177,1656,31001,2003,214,334,112
"Adams County","Ohio",1269,12016,35827,NA,33860,262,213,101,9,12,51,45,0,27,397,182,1297,298,61731,3337,1673,NA,4040,659,35257,60,1,2.79119100120021e-05,0.279119100120021,53592,11.4587174178177,2045,39001,803,213,79,46
"Adams County","Pennsylvania",1372,12936,35827,NA,33860,262,213,101,9,12,51,45,0,27,397,182,1297,298,61731,3337,1673,NA,4040,659,35257,60,8,0.000223295280096,2.23295280096017,58536,11.4587174178177,2246,42001,5707,367,813,182
"Adams County","Washington",1812,16886,35827,NA,33860,262,213,101,9,12,51,45,0,27,397,182,1297,298,61731,3337,1673,NA,4040,659,35257,60,2,5.58238200240042e-05,0.558238200240042,72260,11.4587174178177,2955,53001,535,183,50,26
