,County,Count,X,Y,OBJECTID,PPIN,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR,Census_Tract,GEOID,total_pop_estimate,white_estimate,black_estimate,native_american_estimate,asian_estimate,pacific_islander_estimate,other_race_estimate,two_or_more_estimate,med_inc_estimate,total_pop_moe,white_moe,black_moe,native_american_moe,asian_moe,pacific_islander_moe,other_race_moe,two_or_more_moe,med_inc_moe,white_percentage
0,Acadia Parish,5,-92.369765,30.225854,8801,2028727,809 E NORTHERN AVE,CROWLEY,LA,70526,22,22001,Acadia Parish,32,30.225854,-92.369765,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22042,22025,2021-2022,22001960801,22001,57674,45230,9511,248,95,0,157,2433,44977,,374,508,296,62,33,156,586,2841,0.7842355307417553
4,Assumption Parish,1,-90.904433,30.208293,8807,A2101871,2807 S HODGESON AVE,GONZALES,LA,70737,22,22005,Ascension Parish,21,30.208293,-90.904433,12940,"Baton Rouge, LA",1,N,N,N,N,2202,22058,22018,2021-2022,22007050300,22007,21067,13836,6091,98,88,0,16,938,47023,,169,194,41,114,26,27,220,3781,0.6567617600987327
5,Avoyelles Parish,3,-91.983495,30.965052,8812,Y0538795,3406 HWY 107 S,PLAUCHEVILLE,LA,71362,22,22009,Avoyelles Parish,42,30.965052,-91.983495,N,N,N,N,N,N,N,2205,22028,22028,2021-2022,22009030702,22009,39529,25755,10126,315,251,12,295,2775,38696,,268,581,131,39,17,167,684,5175,0.651546965518986
7,Caddo Parish,11,-93.750551,32.49737,8814,538718,947 JORDAN ST,SHREVEPORT,LA,71101,22,22017,Caddo Parish,12,32.49737,-93.750551,43340,"Shreveport-Bossier City, LA",1,508,"Shreveport-Bossier City-Minden, LA",N,N,2204,22002,22039,2021-2022,22017021000,22017,236259,105210,116373,689,3012,152,2277,8546,47572,,662,866,215,252,33,486,1159,2032,0.44531636890023235
9,Caldwell Parish,1,-92.183392,32.014595,8836,A0901597,1468 HWY 547,CLARKS,LA,71415,22,22021,Caldwell Parish,43,32.014595,-92.183392,N,N,N,N,N,N,N,2205,22020,22032,2021-2022,22021000300,22021,9658,7453,1957,0,7,0,57,184,45707,,84,125,20,10,20,79,106,7075,0.7716918616690827
10,Catahoula Parish,1,-91.883861,31.68039,8837,BB161172,1676 HWY 126,JONESVILLE,LA,71343,22,22025,Catahoula Parish,43,31.68039,-91.883861,N,N,N,N,N,N,N,2205,22020,22032,2021-2022,22025000300,22025,8895,5938,2813,10,7,0,38,89,48259,,57,105,20,11,20,38,76,6502,0.667566048341765
11,Claiborne Parish,2,-93.080545,32.863091,8838,542371,6741 HWY 79,HAYNESVILLE,LA,71038,22,22027,Claiborne Parish,42,32.863091,-93.080545,N,N,N,N,N,N,N,2204,22011,22033,2021-2022,22027950201,22027,14203,6479,7051,2,19,0,169,483,32034,,46,182,6,29,22,88,187,1616,0.45617123142997956
14,Evangeline Parish,1,-91.020021,30.85885,8880,540749,10830 BANK ST,CLINTON,LA,70722,22,22037,East Feliciana Parish,42,30.85885,-91.020021,12940,"Baton Rouge, LA",1,N,N,N,N,2205,22062,22017,2021-2022,22039950600,22039,32335,21415,8193,98,85,20,894,1630,34526,,440,403,76,58,32,442,418,3582,0.6622854492036493
22,Lincoln Parish,1,-92.619305,32.555142,8952,540636,2400 CEDAR CREEK DR,RUSTON,LA,71270,22,22061,Lincoln Parish,32,32.555142,-92.619305,40820,"Ruston, LA",2,384,"Monroe-Ruston, LA",N,N,2205,22012,22035,2021-2022,22061960800,22061,48323,26152,18095,263,670,32,625,2486,37001,,374,581,206,76,46,383,605,3309,0.5411915650932269
24,Madison Parish,1,-91.878551,32.779935,8958,541607,9942 EDWIN ST,BASTROP,LA,71220,22,22067,Morehouse Parish,41,32.779935,-91.878551,33740,"Monroe, LA",1,384,"Monroe-Ruston, LA",N,N,2205,22016,22033,2021-2022,22065960100,22065,10028,3439,6265,17,0,0,59,248,34508,,54,55,16,22,22,72,105,6612,0.3429397686477862
25,Natchitoches Parish,1,-91.179975,32.398182,8957,2160233,700 WOOD ST,TALLULAH,LA,71282,22,22065,Madison Parish,33,32.398182,-91.179975,N,N,N,N,N,N,N,2205,22019,22034,2021-2022,22069000500,22069,37478,19170,15269,281,238,0,1042,1478,41310,,315,260,74,84,30,294,339,2062,0.5115000800469609
27,Ouachita Parish,7,-92.106541,32.53782,9007,A0103844,2401 OLIVER RD,MONROE,LA,71201,22,22073,Ouachita Parish,13,32.53782,-92.106541,33740,"Monroe, LA",1,384,"Monroe-Ruston, LA",N,N,2205,22014,22035,2021-2022,22073001700,22073,159585,91697,59511,266,1854,19,2168,4070,49261,,774,683,177,142,12,461,919,2573,0.5745966099570762
34,St. Landry Parish,4,-92.076921,30.54352,9031,540261,428 E PRUDHOMME ST,OPELOUSAS,LA,70570,22,22097,St. Landry Parish,31,30.54352,-92.076921,36660,"Opelousas, LA",2,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2205,22040,22024,2021-2022,22097960601,22097,82574,44705,33617,106,459,176,894,2617,44478,,308,470,74,40,200,416,450,2152,0.5413931746070192
36,St. Mary Parish,2,-91.878461,30.30949,9037,A1592086,1545 ANSE BROUSSARD HWY,BREAUX BRIDGE,LA,70517,22,22099,St. Martin Parish,41,30.30949,-91.878461,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22046,22022,2021-2022,22101041500,22101,49114,28427,14554,762,625,13,1623,3110,47322,,323,517,91,95,22,379,626,2292,0.5787962699026754
39,Tensas Parish,1,-90.460571,30.54409,9062,A9103005,47342 N CHERRY ST,HAMMOND,LA,70401,22,22105,Tangipahoa Parish,23,30.54409,-90.460571,25220,"Hammond, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2201,22072,22012,2021-2022,22107000300,22107,4127,1726,2168,0,34,0,103,96,35653,,22,102,14,53,14,80,68,4539,0.4182214683789678
42,Washington Parish,2,-90.157033,30.838519,9075,542462,700 VARNADO ST,FRANKLINTON,LA,70438,22,22117,Washington Parish,32,30.838519,-90.157033,14220,"Bogalusa, LA",2,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2205,22075,22012,2021-2022,22117950502,22117,45514,29963,13814,115,51,0,228,1343,41803,,418,268,45,82,30,331,520,3193,0.6583249110163906
43,Webster Parish,1,-89.897218,30.738974,9076,2160335,59253 MOUNT PLEASANT RD # 2,BOGALUSA,LA,70427,22,22117,Washington Parish,41,30.738974,-89.897218,14220,"Bogalusa, LA",2,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2205,22075,22012,2021-2022,22119031600,22119,36761,23275,12355,81,93,7,30,920,34263,,202,169,62,62,10,35,254,1859,0.6331438208971464
