County,Count,X,Y,OBJECTID,PPIN,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR,Census_Tract,GEOID,total_pop_estimate,white_estimate,black_estimate,native_american_estimate,asian_estimate,pacific_islander_estimate,other_race_estimate,two_or_more_estimate,med_inc_estimate,total_pop_moe,white_moe,black_moe,native_american_moe,asian_moe,pacific_islander_moe,other_race_moe,two_or_more_moe,med_inc_moe
Abbeville County,2,-81.724593,33.561372,18074,1264754,129 PENDLETON ST SW,AIKEN,SC,29801,45,45003,Aiken County,21,33.561372,-81.724593,12260,"Augusta-Richmond County, GA-SC",1,N,N,N,N,4502,45081,45024,2021-2022,45001950402,45001,24368,16915,6372,28,58,0,155,840,49759,,163,167,27,90,25,109,204,4901
Acadia Parish,6,-92.369765,30.225854,8801,2028727,809 E NORTHERN AVE,CROWLEY,LA,70526,22,22001,Acadia Parish,32,30.225854,-92.369765,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22042,22025,2021-2022,22001960801,22001,57674,45230,9511,248,95,0,157,2433,44977,,374,508,296,62,33,156,586,2841
Ada County,33,-116.222531,43.64652,6512,A0750020,2908 N 28TH ST,BOISE,ID,83703,16,16001,Ada County,12,43.64652,-116.222531,14260,"Boise City, ID",1,147,"Boise City-Mountain Home-Ontario, ID-OR",N,N,1602,16019,16019,2021-2022,16001000502,16001,497494,429014,6260,2938,12867,1081,11544,33790,83881,,1811,619,708,819,176,1341,1932,1783
Adair County,4,-91.05155,33.391863,11334,K9303422,1026 S WASHINGTON AVE,GREENVILLE,MS,38701,28,28151,Washington County,33,33.391863,-91.05155,24740,"Greenville, MS",2,N,N,N,N,2802,28049,28012,2021-2022,29001950900,19001,7479,7192,48,0,9,12,57,161,63172,,59,35,15,11,17,46,56,4508
Adams County,83,-84.989872,40.620353,7620,A1902035,2880 W 850 S,GENEVA,IN,46740,18,18001,Adams County,41,40.620353,-84.989872,19540,"Decatur, IN",2,258,"Fort Wayne-Huntington-Auburn, IN",N,N,1803,18079,18019,2021-2022,18001030600,18001,35827,33860,213,9,51,0,397,1297,61731,,262,101,12,45,27,182,298,3337
Addison County,4,-112.022331,41.22843,20263,A1904454,1765 W 2100 S,OGDEN,UT,84401,49,49057,Weber County,21,41.22843,-112.022331,36260,"Ogden-Clearfield, UT",1,482,"Salt Lake City-Provo-Orem, UT",N,N,4901,49009,49020,2021-2022,50001960300,50001,37434,34494,391,80,769,29,212,1459,85870,,150,136,43,107,36,84,239,2958
Aiken County,14,-82.450329,34.299716,18072,A1102047,2604 HWY 184 W,DUE WEST,SC,29639,45,45001,Abbeville County,42,34.299716,-82.450329,N,N,N,N,N,N,N,4503,45011,45010,2021-2022,45003021300,45003,169865,114221,42219,208,1727,12,1692,9786,63212,,730,755,91,229,46,534,887,2617
Alachua County,21,-77.011257,38.879032,3846,BB160533,60 I ST SW,WASHINGTON,DC,20024,11,11001,District of Columbia,11,38.879032,-77.011257,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",N,N,1198,N,11006,2021-2022,12001000400,12001,279729,181328,54388,542,16697,164,5253,21357,57566,,1377,951,136,657,56,808,1769,1488
Alamance County,9,-79.405391,36.09932,14488,A1903361,229 N GRAHAM HOPEDALE RD,BURLINGTON,NC,27217,37,37001,Alamance County,13,36.09932,-79.405391,15500,"Burlington, NC",1,268,"Greensboro--Winston-Salem--High Point, NC",N,N,3706,37063,37024,2021-2022,37001020301,37001,171779,112619,33714,526,2817,57,11820,10226,60866,,1068,741,269,266,33,1262,1192,2024
Alameda County,127,-122.079271,37.63863,739,75112,26910 PATRICK AVE,HAYWARD,CA,94544,6,6001,Alameda County,21,37.63863,-122.079271,41860,"San Francisco-Oakland-Berkeley, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,615,6020,6010,2021-2022,6001437600,6001,1663823,565911,169497,14165,534659,12832,201432,165327,122488,,3663,2123,1496,2432,571,5086,4933,1231
