,County,State,num_private_schools
0,Abbeville County,South Carolina,2
1,Acadia Parish,Louisiana,5
2,Ada County,Idaho,34
3,Adair County,Missouri,1
4,Adams County,Colorado,21
5,Adams County,Idaho,1
6,Adams County,Illinois,5
7,Adams County,Indiana,43
8,Adams County,Mississippi,1
9,Adams County,Nebraska,3
10,Adams County,Ohio,1
11,Adams County,Pennsylvania,8
12,Adams County,Washington,2
13,Aiken County,South Carolina,14
14,Alachua County,Florida,20
15,Alamance County,North Carolina,9
16,Alameda County,California,130
17,Alamosa County,Colorado,2
18,Albany County,New York,27
19,Albemarle County,Virginia,13
20,Alcorn County,Mississippi,1
21,Alexander County,Illinois,1
22,Alexander County,North Carolina,1
23,Alexandria city,Virginia,17
24,Alger County,Michigan,1
25,Allegan County,Michigan,7
26,Allegany County,Maryland,6
27,Allegany County,New York,6
28,Alleghany County,Virginia,2
29,Allegheny County,Pennsylvania,106
30,Allen County,Indiana,50
31,Allen County,Kansas,1
32,Allen County,Kentucky,3
33,Allen County,Ohio,9
34,Allen Parish,Louisiana,1
35,Alpena County,Michigan,2
36,Amador County,California,4
37,Amelia County,Virginia,1
38,Amherst County,Virginia,2
39,Amite County,Mississippi,2
40,Anchorage Municipality,Alaska,13
41,Anderson County,Kentucky,1
42,Anderson County,South Carolina,8
43,Anderson County,Tennessee,3
44,Anderson County,Texas,1
45,Andrew County,Missouri,1
46,Androscoggin County,Maine,8
47,Angelina County,Texas,3
48,Anne Arundel County,Maryland,40
49,Anoka County,Minnesota,16
50,Antelope County,Nebraska,1
51,Antrim County,Michigan,1
52,Apache County,Arizona,3
53,Appling County,Georgia,1
54,Appomattox County,Virginia,2
55,Aransas County,Texas,2
56,Arapahoe County,Colorado,30
57,Archuleta County,Colorado,2
58,Arkansas County,Arkansas,4
59,Arlington County,Virginia,13
60,Armstrong County,Pennsylvania,13
61,Aroostook County,Maine,2
62,Ascension Parish,Louisiana,4
63,Ashland County,Ohio,6
64,Ashland County,Wisconsin,1
65,Ashtabula County,Ohio,17
66,Asotin County,Washington,1
67,Assumption Parish,Louisiana,1
68,Atascosa County,Texas,1
69,Atchison County,Kansas,3
70,Athens County,Ohio,1
71,Atlantic County,New Jersey,15
72,Attala County,Mississippi,1
73,Audrain County,Missouri,5
74,Auglaize County,Ohio,1
75,Augusta County,Virginia,4
76,Austin County,Texas,1
77,Autauga County,Alabama,5
78,Avery County,North Carolina,2
79,Avoyelles Parish,Louisiana,4
80,Baker County,Florida,1
81,Baldwin County,Alabama,11
82,Baldwin County,Georgia,5
83,Baltimore County,Maryland,76
84,Baltimore city,Maryland,53
85,Bamberg County,South Carolina,1
86,Bandera County,Texas,1
87,Bannock County,Idaho,2
88,Baraga County,Michigan,2
