County,X,Y,OBJECTID,PPIN,NAME,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR,Census_Tract,GEOID,total_pop_estimate,white_estimate,black_estimate,native_american_estimate,asian_estimate,pacific_islander_estimate,other_race_estimate,two_or_more_estimate,med_inc_estimate,total_pop_moe,white_moe,black_moe,native_american_moe,asian_moe,pacific_islander_moe,other_race_moe,two_or_more_moe,med_inc_moe
Acadia Parish,-92.369765,30.225854,8801,2028727,NORTHSIDE CHRISTIAN SCHOOL,809 E NORTHERN AVE,CROWLEY,LA,70526,22,22001,Acadia Parish,32,30.225854,-92.369765,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22042,22025,2021-2022,22001960801,22001,57674,45230,9511,248,95,0,157,2433,44977,,374,508,296,62,33,156,586,2841
Acadia Parish,-92.492455,30.318103,8799,539857,ST FRANCIS SCHOOL,490 SAINT JOSEPH AVE,IOTA,LA,70543,22,22001,Acadia Parish,42,30.318103,-92.492455,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22041,22025,2021-2022,22001960801,22001,57674,45230,9511,248,95,0,157,2433,44977,,374,508,296,62,33,156,586,2841
Acadia Parish,-92.215586,30.40777,8797,539744,OUR MOTHER OF PEACE ELEMENTARY,218 N ROGERS ST,CHURCH POINT,LA,70525,22,22001,Acadia Parish,31,30.40777,-92.215586,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22041,22026,2021-2022,22001960801,22001,57674,45230,9511,248,95,0,157,2433,44977,,374,508,296,62,33,156,586,2841
Acadia Parish,-92.37062,30.226237,8798,539777,ST MICHAEL ELEMENTARY SCHOOL,805 E NORTHERN AVE,CROWLEY,LA,70526,22,22001,Acadia Parish,32,30.226237,-92.37062,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22042,22025,2021-2022,22001960402,22001,57674,45230,9511,248,95,0,157,2433,44977,,374,508,296,62,33,156,586,2841
Acadia Parish,-92.267062,30.232649,8800,540115,RAYNE CATHOLIC ELEMENTARY,407 S POLK ST,RAYNE,LA,70578,22,22001,Acadia Parish,31,30.232649,-92.267062,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22042,22026,2021-2022,22001960602,22001,57674,45230,9511,248,95,0,157,2433,44977,,374,508,296,62,33,156,586,2841
Allen Parish,-92.71423,30.518285,8803,A1101131,INDIAN BIBLE ACADEMY,152 INDIAN CHURCH RD,ELTON,LA,70532,22,22003,Allen Parish,43,30.518285,-92.71423,N,N,N,N,N,N,N,2204,22032,22028,2021-2022,22003950502,22003,22798,16916,4052,395,164,0,269,1002,52755,,325,193,111,28,26,111,349,6411
Androscoggin County,-93.29455,32.641564,9077,541061,GLENBROOK SCHOOL,1674 COUNTRY CLUB CIR,MINDEN,LA,71055,22,22119,Webster Parish,41,32.641564,-93.29455,33380,"Minden, LA",2,508,"Shreveport-Bossier City-Minden, LA",N,N,2204,22010,22036,2021-2022,23001030200,23001,111532,100100,4863,78,1141,18,456,4876,64500,,357,414,88,240,27,195,565,2165
Ascension Parish,-92.36762,30.221626,8802,A0701071,NOTRE DAME HIGH SCHOOL,910 N EASTERN AVE,CROWLEY,LA,70526,22,22001,Acadia Parish,32,30.221626,-92.36762,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22042,22025,2021-2022,22005031001,22005,126973,85412,29074,305,1525,97,4679,5881,93800,,514,843,138,294,123,596,1005,3514
Ascension Parish,-90.871541,30.26687,8806,A1501773,THE CHURCH ACADEMY,13423 HWY 431,SAINT AMANT,LA,70774,22,22005,Ascension Parish,21,30.26687,-90.871541,12940,"Baton Rouge, LA",1,N,N,N,N,2206,22088,22018,2021-2022,22005030600,22005,126973,85412,29074,305,1525,97,4679,5881,93800,,514,843,138,294,123,596,1005,3514
Ascension Parish,-90.985131,30.10211,8804,1605923,ASCENSION CATHOLIC DIOCESAN REGIONAL SCHOOL,311 SAINT VINCENT ST,DONALDSONVILLE,LA,70346,22,22005,Ascension Parish,31,30.10211,-90.985131,12940,"Baton Rouge, LA",1,N,N,N,N,2202,22058,22002,2021-2022,22005030501,22005,126973,85412,29074,305,1525,97,4679,5881,93800,,514,843,138,294,123,596,1005,3514
Ascension Parish,-90.892165,30.219041,8805,2028738,"ASCENSION CHRISTIAN SCHOOL, ELEMENTARY",10473 AIRLINE HWY,GONZALES,LA,70737,22,22005,Ascension Parish,21,30.219041,-90.892165,12940,"Baton Rouge, LA",1,N,N,N,N,2206,22088,22018,2021-2022,22005030102,22005,126973,85412,29074,305,1525,97,4679,5881,93800,,514,843,138,294,123,596,1005,3514
Assumption Parish,-90.904433,30.208293,8807,A2101871,GONZALES BAPTIST ACADEMY,2807 S HODGESON AVE,GONZALES,LA,70737,22,22005,Ascension Parish,21,30.208293,-90.904433,12940,"Baton Rouge, LA",1,N,N,N,N,2202,22058,22018,2021-2022,22007050300,22007,21067,13836,6091,98,88,0,16,938,47023,,169,194,41,114,26,27,220,3781
Avoyelles Parish,-91.983495,30.965052,8812,Y0538795,ST JOSEPH SCHOOL K-12,3406 HWY 107 S,PLAUCHEVILLE,LA,71362,22,22009,Avoyelles Parish,42,30.965052,-91.983495,N,N,N,N,N,N,N,2205,22028,22028,2021-2022,22009030702,22009,39529,25755,10126,315,251,12,295,2775,38696,,268,581,131,39,17,167,684,5175
Avoyelles Parish,-91.054913,29.990722,8808,539187,ST ELIZABETH SCHOOL,6051 CONVENT ST,PAINCOURTVILLE,LA,70391,22,22007,Assumption Parish,31,29.990722,-91.054913,12940,"Baton Rouge, LA",1,N,N,N,N,2202,22060,22002,2021-2022,22009030702,22009,39529,25755,10126,315,251,12,295,2775,38696,,268,581,131,39,17,167,684,5175
Avoyelles Parish,-92.190113,30.952786,8810,538944,ST ANTHONY SCHOOL,116 S KNOLL AVE,BUNKIE,LA,71322,22,22009,Avoyelles Parish,32,30.952786,-92.190113,N,N,N,N,N,N,N,2205,22028,22028,2021-2022,22009030800,22009,39529,25755,10126,315,251,12,295,2775,38696,,268,581,131,39,17,167,684,5175
Beauregard Parish,-92.054809,30.987003,8811,538955,ST MARY'S ASSUMPTION SCHOOL,850 FRONT ST,COTTONPORT,LA,71327,22,22009,Avoyelles Parish,32,30.987003,-92.054809,N,N,N,N,N,N,N,2205,22028,22028,2021-2022,22011960500,22011,36553,29563,4267,60,247,13,470,1933,68525,,299,222,38,36,32,212,340,6225
Caddo Parish,-93.750551,32.49737,8814,538718,ST JOHN BERCHMANS CATHEDRAL SCHOOL,947 JORDAN ST,SHREVEPORT,LA,71101,22,22017,Caddo Parish,12,32.49737,-93.750551,43340,"Shreveport-Bossier City, LA",1,508,"Shreveport-Bossier City-Minden, LA",N,N,2204,22002,22039,2021-2022,22017021000,22017,236259,105210,116373,689,3012,152,2277,8546,47572,,662,866,215,252,33,486,1159,2032
