GEOID,County,total_pop_estimate,white_estimate,black_estimate,native_american_estimate,asian_estimate,pacific_islander_estimate,other_race_estimate,two_or_more_estimate,med_inc_estimate,total_pop_moe,white_moe,black_moe,native_american_moe,asian_moe,pacific_islander_moe,other_race_moe,two_or_more_moe,med_inc_moe
1001,Autauga County,58761,43747,11496,59,658,0,321,2480,68315.0,,345,525,71,218,30,243,668,4941.0
1003,Baldwin County,233420,195998,19445,848,2046,31,4414,10638,71039.0,,1247,746,325,347,32,1216,1169,2374.0
1005,Barbour County,24877,11309,11668,74,126,3,1088,609,39712.0,,221,220,39,26,4,270,215,3289.0
1007,Bibb County,22251,16872,4603,21,69,0,108,578,50669.0,,225,294,25,94,24,129,321,8260.0
1009,Blount County,59077,53941,729,227,100,117,1859,2104,57440.0,,683,196,157,96,96,546,434,3308.0
1011,Bullock County,10328,2397,7117,0,43,0,568,203,36136.0,,227,88,20,49,20,259,144,4731.0
1013,Butler County,18981,9777,8462,69,243,0,57,373,44429.0,,76,68,51,59,20,34,115,4102.0
1015,Calhoun County,116162,83306,25631,258,765,207,2223,3772,54339.0,,575,449,132,148,190,519,531,2221.0
1017,Chambers County,34612,19642,14114,21,60,3,240,532,48805.0,,122,154,29,54,5,122,158,5967.0
1019,Cherokee County,25069,22884,1008,120,27,0,206,824,46621.0,,129,144,79,62,24,78,201,3697.0
1021,Chilton County,45140,36693,4257,647,229,136,1512,1666,62471.0,,590,226,558,48,198,540,334,3466.0
1023,Choctaw County,12669,7180,5062,28,15,0,85,299,43299.0,,28,175,30,24,20,64,181,8544.0
1025,Clarke County,23058,11862,10490,15,90,0,194,407,47549.0,,116,92,17,30,24,127,144,7087.0
1027,Clay County,14209,11581,1790,5,36,0,128,669,48074.0,,121,217,16,42,20,106,249,4545.0
1029,Cleburne County,15144,14028,411,35,15,0,263,392,51553.0,,57,64,32,24,20,99,102,4006.0
1031,Coffee County,53559,38834,8997,368,563,8,1083,3706,62199.0,,378,446,127,136,14,347,418,3570.0
1033,Colbert County,57270,44698,9185,178,214,53,1395,1547,56149.0,,123,253,96,95,49,260,337,3200.0
1035,Conecuh County,11576,5751,5611,33,36,0,24,121,39888.0,,20,102,37,32,20,28,70,4152.0
1037,Coosa County,10329,6859,3120,9,0,0,75,266,52279.0,,125,33,15,20,20,94,98,4025.0
1039,Covington County,37542,31404,4606,117,218,0,293,904,48772.0,,143,233,73,15,27,152,269,4644.0
1041,Crenshaw County,13205,9386,3059,10,154,6,142,448,48557.0,,86,149,13,40,10,96,152,3908.0
1043,Cullman County,88284,81077,960,355,278,27,1460,4127,58119.0,,527,151,236,82,34,575,706,2269.0
1045,Dale County,49455,34817,10416,476,611,17,1176,1942,52813.0,,300,280,195,95,16,278,308,3967.0
1047,Dallas County,38326,10634,26467,208,240,0,16,761,37180.0,,199,600,164,14,27,52,556,3448.0
1049,DeKalb County,71680,59102,1043,1098,72,413,6443,3509,47920.0,,727,115,449,44,570,927,589,2836.0
1051,Elmore County,87694,64769,18276,248,602,0,677,3122,73258.0,,458,624,98,187,30,313,698,2727.0
1053,Escambia County,36755,22762,11138,1124,90,0,227,1414,41153.0,,194,563,118,77,27,157,584,2502.0
1055,Etowah County,103348,80555,15724,329,748,2,2404,3586,52177.0,,408,445,144,159,3,500,581,1922.0
1057,Fayette County,16297,13727,2074,24,36,40,28,368,45650.0,,102,177,27,37,61,42,176,6646.0
1059,Franklin County,32011,24853,1360,134,35,14,4210,1405,47359.0,,424,115,115,40,29,590,438,4879.0
1061,Geneva County,26647,22360,2472,71,143,6,636,959,47608.0,,383,276,46,173,8,358,256,4353.0
1063,Greene County,7706,1333,6305,7,0,0,12,49,32796.0,,26,90,18,18,18,30,76,4030.0
1065,Hale County,14742,5663,8373,42,9,0,11,644,35851.0,,159,277,64,17,20,15,311,7915.0
