,index,County,X,Y,OBJECTID,PPIN,NAME,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR,Census_Tract,GEOID,total_pop_estimate,white_estimate,black_estimate,native_american_estimate,asian_estimate,pacific_islander_estimate,other_race_estimate,two_or_more_estimate,med_inc_estimate,total_pop_moe,white_moe,black_moe,native_american_moe,asian_moe,pacific_islander_moe,other_race_moe,two_or_more_moe,med_inc_moe,black_percentage
17,746,Athens County,-80.938224,41.773932,15100,A2103002,SPIRE ACADEMY,5201 SPIRE CIR,GENEVA,OH,44041,39,39007,Ashtabula County,41,41.773932,-80.938224,11780,"Ashtabula, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3914,39099,39032,2021-2022,39009973600,39009,61276,55686,1557,69,1604,19,218,2123,48750,,194,163,48,222,27,147,278,3695,0.025409622037992036
125,2112,Butler County,-84.383161,39.39646,15119,A0701816,MOTHER TERESA CATHOLIC ELEMENTARY,7197 MOTHER TERESA LN,LIBERTY TOWNSHIP,OH,45044,39,39017,Butler County,21,39.39646,-84.383161,17140,"Cincinnati, OH-KY-IN",1,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",N,N,3908,39052,39004,2021-2022,39017014700,21031,12365,11869,64,9,83,0,77,263,47589,,145,60,14,57,19,107,119,5577,0.0051758997169429844
126,2113,Butler County,-84.460021,39.34848,15120,A1101843,"KINDER GARDEN SCHOOL, WEST CHESTER",8374 PRINCETON GLENDALE RD STE 5,WEST CHESTER,OH,45069,39,39017,Butler County,21,39.34848,-84.460021,17140,"Cincinnati, OH-KY-IN",1,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",N,N,3908,39052,39004,2021-2022,39017011005,21031,12365,11869,64,9,83,0,77,263,47589,,145,60,14,57,19,107,119,5577,0.0051758997169429844
128,2115,Butler County,-84.385386,39.378285,15125,A2102999,ROYAL REDEEMER LUTHERAN PRESCHOOL,7127 DUTCHLAND PKWY,LIBERTY TWP,OH,45044,39,39017,Butler County,21,39.378285,-84.385386,17140,"Cincinnati, OH-KY-IN",1,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",N,N,3908,39052,39004,2021-2022,39017010909,21031,12365,11869,64,9,83,0,77,263,47589,,145,60,14,57,19,107,119,5577,0.0051758997169429844
129,2116,Butler County,-84.502951,39.36113,15126,A9503228,FARMVIEW MONTESSORI GARDEN,3501 TYLERSVILLE RD,HAMILTON,OH,45011,39,39017,Butler County,21,39.36113,-84.502951,17140,"Cincinnati, OH-KY-IN",1,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",N,N,3908,39051,39004,2021-2022,39017011120,21031,12365,11869,64,9,83,0,77,263,47589,,145,60,14,57,19,107,119,5577,0.0051758997169429844
130,2117,Butler County,-84.566911,39.40801,15118,A0304096,ST PETER IN CHAINS SCHOOL,451 RIDGELAWN AVE,HAMILTON,OH,45013,39,39017,Butler County,21,39.40801,-84.566911,17140,"Cincinnati, OH-KY-IN",1,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",N,N,3908,39051,39004,2021-2022,39017011122,21031,12365,11869,64,9,83,0,77,263,47589,,145,60,14,57,19,107,119,5577,0.0051758997169429844
132,2119,Butler County,-84.753801,39.51617,15115,2118586,MCGUFFEY MONTESSORI SCHOOL,5128 WESTGATE DR,OXFORD,OH,45056,39,39017,Butler County,31,39.51617,-84.753801,17140,"Cincinnati, OH-KY-IN",1,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",N,N,3908,39053,39004,2021-2022,39017010102,21031,12365,11869,64,9,83,0,77,263,47589,,145,60,14,57,19,107,119,5577,0.0051758997169429844
133,2120,Butler County,-84.362501,39.52844,15116,2121282,ST JOHN XXIII CATHOLIC SCHOOL,3806 MANCHESTER RD,MIDDLETOWN,OH,45042,39,39017,Butler County,23,39.52844,-84.362501,17140,"Cincinnati, OH-KY-IN",1,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",N,N,3908,39053,39004,2021-2022,39017011125,21031,12365,11869,64,9,83,0,77,263,47589,,145,60,14,57,19,107,119,5577,0.0051758997169429844
138,2125,Butler County,-84.385086,39.348473,15117,A0304095,INTERNATIONAL ACADEMY OF CINCINNATI,8094 PLANTATION DR,WEST CHESTER,OH,45069,39,39017,Butler County,21,39.348473,-84.385086,17140,"Cincinnati, OH-KY-IN",1,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",N,N,3908,39052,39004,2021-2022,39017014700,21031,12365,11869,64,9,83,0,77,263,47589,,145,60,14,57,19,107,119,5577,0.0051758997169429844
142,2129,Butler County,-84.592711,39.3943,15114,1895214,STEPHEN T BADIN HIGH SCHOOL,571 HAMILTON NEW LONDON RD,HAMILTON,OH,45013,39,39017,Butler County,21,39.3943,-84.592711,17140,"Cincinnati, OH-KY-IN",1,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",N,N,3908,39051,39004,2021-2022,39017012700,21031,12365,11869,64,9,83,0,77,263,47589,,145,60,14,57,19,107,119,5577,0.0051758997169429844
147,2134,Butler County,-84.459651,39.36392,15123,A1503028,THE GODDARD SCHOOL - WEST CHESTER,7739 PRINCETON GLENDALE RD,HAMILTON,OH,45011,39,39017,Butler County,21,39.36392,-84.459651,17140,"Cincinnati, OH-KY-IN",1,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",N,N,3908,39052,39004,2021-2022,39017011120,21031,12365,11869,64,9,83,0,77,263,47589,,145,60,14,57,19,107,119,5577,0.0051758997169429844
148,2135,Butler County,-84.567111,39.33798,15110,1055922,SACRED HEART OF JESUS ELEMENTARY SCHOOL,400 NILLES RD,FAIRFIELD,OH,45014,39,39017,Butler County,21,39.33798,-84.567111,17140,"Cincinnati, OH-KY-IN",1,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",N,N,3908,39051,39004,2021-2022,39017000200,21031,12365,11869,64,9,83,0,77,263,47589,,145,60,14,57,19,107,119,5577,0.0051758997169429844
150,2137,Butler County,-84.570131,39.40944,15122,A1502922,MAIN STREET SCHOOLHOUSE- INC,200 N F ST STE 1,HAMILTON,OH,45013,39,39017,Butler County,21,39.40944,-84.570131,17140,"Cincinnati, OH-KY-IN",1,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",N,N,3908,39051,39004,2021-2022,39017011122,21031,12365,11869,64,9,83,0,77,263,47589,,145,60,14,57,19,107,119,5577,0.0051758997169429844
155,2142,Butler County,-84.525531,39.39209,15121,A1390288,FAIRFIELD CHRISTIAN SCHOOL,2470 PRINCETON RD,HAMILTON,OH,45011,39,39017,Butler County,21,39.39209,-84.525531,17140,"Cincinnati, OH-KY-IN",1,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN",N,N,3908,39052,39004,2021-2022,39017011112,21031,12365,11869,64,9,83,0,77,263,47589,,145,60,14,57,19,107,119,5577,0.0051758997169429844
