,Unnamed: 0,County,total_popE,total_popM,whiteE,whiteM,blackE,blackM,native_americanE,native_americanM,asianE,asianM,pacific_islanderE,pacific_islanderM,other_raceE,other_raceM,two_or_moreE,two_or_moreM,med_incE,med_incM,hispanicE,hispanicM,poverty_incomeE,poverty_incomeM,poverty_totalE,poverty_totalM,number_of_schools,schools_per_capita,schools_per_10000,considered_low_income,poverty_rate,State
0,0,Anchorage Municipality,290674,,172004,1355,15469,820,21507,1067,28440,1050,8563,433,7728,1290,36963,2107,95731,2829,28162,,27415,2611,284386,399,13,4.4723642293428376e-05,0.4472364229342838,69096.0,9.640066669948592,Alaska
1,1,Fairbanks North Star Borough,96299,,68726,733,3979,446,6733,837,3032,313,653,25,1672,514,11504,1216,81655,4690,8038,,6356,768,92321,221,6,6.23059429485249e-05,0.6230594294852491,69096.0,6.884674126146814,Alaska
2,2,Bristol Bay Borough,854,87.0,387,69,3,4,269,50,48,42,17,17,22,36,108,38,94167,12682,74,41.0,66,84,837,85,1,0.0011709601873536,11.7096018735363,69096.0,7.885304659498208,Alaska
3,3,Juneau City and Borough,32108,,20543,297,345,125,3018,372,2317,220,437,13,620,296,4828,450,95711,6801,2300,,2176,449,31517,144,2,6.228977201943441e-05,0.6228977201943441,69096.0,6.904210426119237,Alaska
4,5,Kenai Peninsula Borough,59235,,47151,377,424,128,4389,378,1021,165,222,14,1006,311,5022,481,76272,3470,2623,,7265,996,57908,181,2,3.376382206465772e-05,0.3376382206465772,69096.0,12.545762243558748,Alaska
5,6,Matanuska-Susitna Borough,108661,,86055,451,1392,140,6743,510,1956,184,464,110,1449,312,10602,639,86435,2503,6074,,10810,854,105794,228,2,1.840586779065166e-05,0.1840586779065166,69096.0,10.217970773389794,Alaska
6,12,Dillingham Census Area,4854,,775,113,76,189,3451,270,78,24,3,5,2,5,469,161,69412,26682,162,,765,153,4814,18,1,0.0002060156571899,2.0601565718994643,69096.0,15.8911508101371,Alaska
7,15,Southeast Fairbanks Census Area,6888,,5163,137,61,25,881,80,214,31,17,22,181,146,371,95,75378,7772,491,,898,245,6820,30,1,0.0001451800232288,1.4518002322880372,69096.0,13.167155425219942,Alaska
8,19,Kodiak Island Borough,13065,,6612,307,120,56,1492,167,2964,152,2,4,89,76,1786,374,91138,11155,1150,,1027,274,12777,41,1,7.654037504783774e-05,0.7654037504783774,69096.0,8.037880566643187,Alaska
9,29,Jefferson County,12273,,11437,76,37,29,140,79,49,19,0,17,75,53,535,95,73875,9063,366,,609,157,12047,47,45,0.0036665851869958,36.665851869958445,47687.2,5.05520046484602,Alabama
10,31,Jackson County,53176,,39415,287,7721,307,68,73,1935,115,81,76,1462,322,2494,373,44847,2947,2490,,11449,876,49871,56,1,1.8805476154656235e-05,0.1880547615465623,47687.2,22.957229652503457,Alabama
11,32,Madison County,68020,,62497,453,1141,189,227,51,688,89,0,31,609,181,2858,496,68869,2781,1695,,5961,743,62575,85,24,0.0003528374007644,3.5283740076448105,47687.2,9.526168597682782,Alabama
12,33,Dallas County,6472,,3405,70,2856,119,0,18,4,8,37,49,18,21,152,86,40085,9399,82,60.0,723,256,6071,19,4,0.0006180469715698,6.1804697156983925,47687.2,11.909075934771868,Alabama
13,34,Houston County,8253,,7728,31,281,98,25,29,27,55,19,27,0,19,173,93,51544,3956,234,,1066,237,7966,87,5,0.0006058403004967,6.058403004967891,47687.2,13.38187296008034,Alabama
14,35,Autauga County,58761,,43747,345,11496,525,59,71,658,218,0,30,321,243,2480,668,68315,4941,1864,,6630,1081,58291,87,5,8.509045114957199e-05,0.8509045114957199,47687.2,11.373968537166974,Alabama
15,42,Lauderdale County,94329,,79592,632,9317,408,315,111,576,151,64,52,697,320,3768,829,56081,3092,2803,,12188,1049,91894,75,3,3.180358108322997e-05,0.3180358108322997,47687.2,13.263107493416326,Alabama
16,46,Cullman County,88284,,81077,527,960,151,355,236,278,82,27,34,1460,575,4127,706,58119,2269,4056,,11364,1244,87201,68,4,4.5308323138960625e-05,0.4530832313896062,47687.2,13.031960642653182,Alabama
17,49,Baldwin County,43778,,23141,179,18284,282,50,26,695,129,59,103,444,185,1105,310,54699,3336,1161,,8864,1128,39122,188,9,0.0002055827127781,2.055827127781077,47687.2,22.657328357445937,Alabama
18,53,Montgomery County,856399,,650218,2072,78309,1384,1420,585,67279,1046,312,187,15619,1823,43242,2393,107441,1366,48524,,52365,3151,835381,469,15,1.751520027463834e-05,0.1751520027463834,47687.2,6.268397294168769,Alabama
